2010 Elderly by employment, education, poverty, and gender, age 65+, New Hampshire, wgtd 2008-12 ACS, SSDAN/U-Mich
5
Gender,AgeEldr,PovLevel,Educ,Emp2
2,3,4,4,4
Male,Female
65-74,75-84,85+
Poverty,NearPoor,Middle,Comf
LTHS,HSGrad,SomeColl,CollGrad
EmpFull,EmpPart,Unempd,NILF
18,15,0,568,3,115,28,601,0,0,13,298,54,19,0,243, 
16,73,0,442,0,24,12,873,20,64,15,464,0,9,0,232, 
468,659,46,2976,937,1344,155,7008,740,1146,63,4234,453,601,141,4082, 
217,152,11,435,1109,476,19,1809,1369,550,72,1790,3156,1205,111,5046, 
0,0,0,579,0,0,0,511,0,0,15,155,0,0,0,323, 
0,0,0,779,0,24,0,638,0,3,0,323,0,34,0,329, 
62,202,27,2525,109,372,5,4327,73,272,0,2772,69,325,45,3261, 
6,25,0,329,211,156,0,842,110,148,0,918,156,311,30,2792, 
0,0,0,284,0,0,0,170,0,0,0,71,0,0,0,15, 
0,0,0,276,0,0,0,344,0,0,0,212,0,0,0,70, 
0,74,0,1067,0,22,0,1312,0,59,0,564,0,4,55,907, 
0,0,0,125,0,60,0,204,0,0,0,167,32,12,0,674, 
0,12,0,687,20,55,55,1027,13,40,15,624,11,91,0,398, 
0,68,0,869,17,200,22,2012,50,20,25,893,0,24,27,422, 
144,534,60,2438,1047,2015,84,9525,682,1302,129,5069,455,1168,31,3549, 
121,113,0,681,672,651,56,2491,663,821,26,2372,962,935,52,3927, 
15,4,0,954,0,24,0,1105,0,5,9,492,0,0,0,324, 
0,0,0,946,0,0,0,2134,14,28,0,920,0,55,0,326, 
23,135,15,2924,30,542,29,7948,23,364,23,3483,24,219,0,2629, 
0,20,0,477,39,92,0,1840,81,16,5,1053,10,114,0,1791, 
0,0,0,483,0,24,0,423,0,0,0,262,0,0,0,113, 
0,6,0,806,0,5,0,1196,0,0,0,391,0,0,0,121, 
0,0,0,1625,17,55,0,3073,28,44,0,1209,0,0,0,699, 
0,0,0,316,0,0,0,681,0,58,0,531,0,22,0,793
***** 
