2010 Elderly by employment, education, poverty, and gender, age 65+, Florida, wgtd 2008-12 ACS, SSDAN/U-Mich
5
Gender,AgeEldr,PovLevel,Educ,Emp2
2,3,4,4,4
Male,Female
65-74,75-84,85+
Poverty,NearPoor,Middle,Comf
LTHS,HSGrad,SomeColl,CollGrad
EmpFull,EmpPart,Unempd,NILF
469,804,898,24095,231,749,441,16656,198,596,400,9864,341,410,441,8085, 
953,1126,472,18727,859,1088,784,18651,549,508,643,12134,252,593,399,7703, 
10072,6881,1967,53994,14831,12407,3988,104600,12473,12738,4249,93023,9584,9960,2982,71437, 
3111,983,224,6409,11672,4143,892,24037,17470,6515,1411,36032,36482,15557,2030,82845, 
54,159,150,17071,58,114,145,9451,18,170,125,5758,12,128,101,5148, 
160,248,132,18647,164,185,73,14839,154,196,129,8041,41,208,79,5352, 
1899,2915,392,50718,2285,4240,791,80814,1667,4109,741,61816,1627,3842,617,58637, 
781,507,18,5750,1580,972,170,16448,1879,1572,312,20628,5105,4642,267,55841, 
57,47,28,5926,29,33,0,3344,0,28,0,1491,0,19,13,2031, 
52,102,28,6232,0,27,0,5738,0,12,14,2829,20,0,0,2153, 
149,328,22,20336,226,453,109,28690,306,523,52,18703,69,407,71,18385, 
75,108,10,3123,208,93,19,7009,393,134,0,7157,655,694,27,17119, 
330,748,844,36868,502,856,524,30335,136,723,533,18220,58,518,70,9484, 
671,1159,278,25392,887,1949,743,32106,498,1707,627,18477,130,618,264,8662, 
6053,6367,990,67624,16176,18010,3565,160496,14125,16977,3294,112698,6094,7790,1713,62264, 
1526,849,90,10240,7862,4943,451,44316,12068,6834,822,47415,14240,8085,576,65898, 
23,178,186,30732,0,481,92,24057,0,213,122,12399,0,37,84,5924, 
134,388,111,26723,32,570,283,34759,47,318,85,16556,14,181,0,5779, 
1068,1645,351,65875,2141,5187,642,130774,1431,3310,535,72746,836,1782,151,42030, 
198,236,64,10391,1222,939,64,31704,940,1085,102,24997,994,1057,46,30827, 
0,17,0,14317,0,48,57,11972,10,35,0,4980,6,12,0,2800, 
12,18,14,13974,0,135,13,19256,11,26,45,6658,0,22,9,3018, 
107,217,0,34093,181,462,39,60156,231,286,11,25700,103,229,18,16427, 
42,0,9,7159,97,140,0,15859,110,47,0,8533,102,130,12,10477
***** 
