2010 Elderly by employment, education, poverty, and gender, age 65+, Georgia, wgtd 2008-12 ACS, SSDAN/U-Mich
5
Gender,AgeEldr,PovLevel,Educ,Emp2
2,3,4,4,4
Male,Female
65-74,75-84,85+
Poverty,NearPoor,Middle,Comf
LTHS,HSGrad,SomeColl,CollGrad
EmpFull,EmpPart,Unempd,NILF
90,248,269,9519,149,192,33,5646,44,162,104,2325,126,110,71,1679, 
144,727,256,10200,147,478,125,7456,105,86,200,3080,166,95,22,1793, 
4147,2222,569,23636,5882,5302,954,39520,4201,4024,900,27748,2927,2714,744,20601, 
1815,453,33,2472,5292,1437,323,8599,6543,2324,407,11889,16199,5066,515,24014, 
138,13,52,5472,0,52,0,2729,0,32,32,604,0,0,0,1105, 
113,122,0,6569,36,37,13,3527,29,21,17,1914,0,70,3,1422, 
515,668,133,18183,715,1312,102,20980,586,790,109,14208,469,1101,159,12023, 
261,231,20,1624,478,256,36,3977,653,381,18,5215,1424,1135,106,12218, 
0,0,0,1798,10,90,0,698,0,0,0,158,0,0,0,327, 
0,30,0,1975,0,24,0,963,0,0,0,515,0,0,0,223, 
46,44,0,5466,84,80,20,4935,94,65,0,2920,69,105,0,3017, 
0,25,0,767,0,33,0,1220,33,14,0,1074,200,90,0,3307, 
39,424,178,18303,75,603,113,12611,46,211,118,5640,30,91,109,2690, 
185,480,157,13984,258,762,120,13784,92,450,152,5888,108,153,12,1737, 
2471,2908,283,27920,5705,6626,732,60886,4384,4220,848,33934,2154,2655,426,18809, 
616,468,44,3536,3054,1828,205,14300,4555,2075,167,13827,5303,3376,167,21226, 
51,90,11,13707,46,117,15,8466,6,63,11,2899,0,76,0,1946, 
53,94,0,12521,39,248,27,10479,10,99,60,4222,0,26,0,1399, 
347,843,37,23120,457,1139,111,35778,514,655,83,17585,147,637,68,10199, 
73,141,16,3677,251,417,0,9456,304,295,0,5945,311,373,12,7907, 
0,0,13,6429,0,26,0,3370,0,16,16,1300,14,0,0,650, 
15,45,0,5455,0,0,0,3889,0,48,0,1542,0,0,0,668, 
33,45,0,11020,23,60,0,13209,43,110,12,6050,0,44,0,4071, 
85,0,0,1865,77,51,17,4216,0,15,0,1930,17,7,0,3226
***** 
